term	expansion_order	harmonic	observable_status	absorption_target	notes
inner_baseline_secular	O(c^-2), Newtonian nested-Kepler carrier, leading nontrivial O(epsilon=a_in/a_out)	secular	absorbed	spin phase / spin frequency	GR carrier; U_inner contribution with factor 1. Coordinate-time secular trend is absorbed by spin parameters.
inner_baseline_einstein_sinE	O(c^-2), Newtonian nested-Kepler carrier, leading nontrivial O(epsilon=a_in/a_out)	inner-only	degenerate	inner Einstein delay gamma	GR carrier; after secular absorption, residual is proportional to -G e_in m_B (1) sin E_in/(a_in c^2 n_in).
outer_monopole_baseline_secular	O(c^-2), Newtonian nested-Kepler carrier, leading nontrivial O(epsilon=a_in/a_out)	secular	absorbed	spin phase / spin frequency	GR carrier; outer monopole U_C(R_out) with factor 1. Coordinate-time secular trend is absorbed by spin parameters.
outer_monopole_baseline_sinE	O(c^-2), Newtonian nested-Kepler carrier, leading nontrivial O(epsilon=a_in/a_out)	outer-only	degenerate	outer Einstein/redshift delay parameter	GR carrier; after secular absorption, residual is proportional to -G e_out m_C (1) sin E_out/(a_out c^2 n_out).
outer_dipole_baseline_combination	O(c^-2), Newtonian nested-Kepler carrier, leading nontrivial O(epsilon=a_in/a_out)	combination	degenerate	GR triple clock carrier / fitted triple parameters	GR carrier; leading O(epsilon) outer-gradient clock term. Residual structure is integral dt of -G m_C beta_A epsilon (1) [(1 - e_in cos E_in)/(1 - e_out cos E_out)^2] cos_Phi/(a_out c^2). This is not a pure spin, inner-only gamma, or outer-only gamma basis.
inner_zeta1_sA_secular	O(c^-2), Newtonian nested-Kepler carrier, leading nontrivial O(epsilon=a_in/a_out)	secular	absorbed	spin phase / spin frequency	linear decoupled clock term; U_inner contribution with factor zeta_1 s_A. Coordinate-time secular trend is absorbed by spin parameters.
inner_zeta1_sA_einstein_sinE	O(c^-2), Newtonian nested-Kepler carrier, leading nontrivial O(epsilon=a_in/a_out)	inner-only	degenerate	inner Einstein delay gamma	linear decoupled clock term; after secular absorption, residual is proportional to -G e_in m_B (zeta_1 s_A) sin E_in/(a_in c^2 n_in).
outer_monopole_zeta1_sA_secular	O(c^-2), Newtonian nested-Kepler carrier, leading nontrivial O(epsilon=a_in/a_out)	secular	absorbed	spin phase / spin frequency	linear decoupled clock term; outer monopole U_C(R_out) with factor zeta_1 s_A. Coordinate-time secular trend is absorbed by spin parameters.
outer_monopole_zeta1_sA_sinE	O(c^-2), Newtonian nested-Kepler carrier, leading nontrivial O(epsilon=a_in/a_out)	outer-only	degenerate	outer Einstein/redshift delay parameter	linear decoupled clock term; after secular absorption, residual is proportional to -G e_out m_C (zeta_1 s_A) sin E_out/(a_out c^2 n_out).
outer_dipole_zeta1_sA_combination	O(c^-2), Newtonian nested-Kepler carrier, leading nontrivial O(epsilon=a_in/a_out)	combination	observable	none at dictionary level; check covariance later	linear decoupled clock term; leading O(epsilon) outer-gradient clock term. Residual structure is integral dt of -G m_C beta_A epsilon (zeta_1 s_A) [(1 - e_in cos E_in)/(1 - e_out cos E_out)^2] cos_Phi/(a_out c^2). This is not a pure spin, inner-only gamma, or outer-only gamma basis.
inner_zeta2_sA2_secular	O(c^-2), Newtonian nested-Kepler carrier, leading nontrivial O(epsilon=a_in/a_out)	secular	absorbed	spin phase / spin frequency	quadratic decoupled clock term; U_inner contribution with factor zeta_2 s_A^2. Coordinate-time secular trend is absorbed by spin parameters.
inner_zeta2_sA2_einstein_sinE	O(c^-2), Newtonian nested-Kepler carrier, leading nontrivial O(epsilon=a_in/a_out)	inner-only	degenerate	inner Einstein delay gamma	quadratic decoupled clock term; after secular absorption, residual is proportional to -G e_in m_B (zeta_2 s_A^2) sin E_in/(a_in c^2 n_in).
outer_monopole_zeta2_sA2_secular	O(c^-2), Newtonian nested-Kepler carrier, leading nontrivial O(epsilon=a_in/a_out)	secular	absorbed	spin phase / spin frequency	quadratic decoupled clock term; outer monopole U_C(R_out) with factor zeta_2 s_A^2. Coordinate-time secular trend is absorbed by spin parameters.
outer_monopole_zeta2_sA2_sinE	O(c^-2), Newtonian nested-Kepler carrier, leading nontrivial O(epsilon=a_in/a_out)	outer-only	degenerate	outer Einstein/redshift delay parameter	quadratic decoupled clock term; after secular absorption, residual is proportional to -G e_out m_C (zeta_2 s_A^2) sin E_out/(a_out c^2 n_out).
outer_dipole_zeta2_sA2_combination	O(c^-2), Newtonian nested-Kepler carrier, leading nontrivial O(epsilon=a_in/a_out)	combination	observable	none at dictionary level; check covariance later	quadratic decoupled clock term; leading O(epsilon) outer-gradient clock term. Residual structure is integral dt of -G m_C beta_A epsilon (zeta_2 s_A^2) [(1 - e_in cos E_in)/(1 - e_out cos E_out)^2] cos_Phi/(a_out c^2). This is not a pure spin, inner-only gamma, or outer-only gamma basis.
